Year,Region,Region_en,Crop,Metrics,Value
2000,中原区,zhongyuanqu,Wheat,Sown area (1000 ha),6.32
2000,二七区,erqiqu,Wheat,Sown area (1000 ha),3.46
2000,管城区,guanchengqu,Wheat,Sown area (1000 ha),4.61
2000,金水区,jinshuiqu,Wheat,Sown area (1000 ha),4.82
2000,上街区,shangjiequ,Wheat,Sown area (1000 ha),0.17
2000,邙山区,mangshanqu,Wheat,Sown area (1000 ha),3.44
2000,巩义市,gongyishi,Wheat,Sown area (1000 ha),29.18
2000,荥阳市,yingyangshi,Wheat,Sown area (1000 ha),33.44
2000,新密市,xinmishi,Wheat,Sown area (1000 ha),29.96
2000,新郑市,xinzhengshi,Wheat,Sown area (1000 ha),30.26
2000,登封市,dengfengshi,Wheat,Sown area (1000 ha),24.23
2000,中牟县,zhongmouxian,Wheat,Sown area (1000 ha),38.05
2000,郊区,jiaoqu,Wheat,Sown area (1000 ha),7.17
2000,杞县,qixian,Wheat,Sown area (1000 ha),63.31
2000,通许县,tongxuxian,Wheat,Sown area (1000 ha),35.96
2000,尉氏县,weishixian,Wheat,Sown area (1000 ha),60.57
2000,开封县,kaifengxian,Wheat,Sown area (1000 ha),57.17
2000,兰考县,lankaoxian,Wheat,Sown area (1000 ha),53.18
2000,吉利区,jiliqu,Wheat,Sown area (1000 ha),1.41
2000,洛龙区,luolongqu,Wheat,Sown area (1000 ha),6.48
2000,偃师市,yanshishi,Wheat,Sown area (1000 ha),35.42
2000,孟津县,mengjinxian,Wheat,Sown area (1000 ha),27.75
2000,新安县,xinanxian,Wheat,Sown area (1000 ha),25.76
2000,栾川县,luanchuanxian,Wheat,Sown area (1000 ha),8.08
2000,嵩县,songxian,Wheat,Sown area (1000 ha),21.11
2000,汝阳县,ruyangxian,Wheat,Sown area (1000 ha),16.73
2000,宜阳县,yiyangxian,Wheat,Sown area (1000 ha),36.34
2000,洛宁县,luoningxian,Wheat,Sown area (1000 ha),30.49
2000,伊川县,yichuanxian,Wheat,Sown area (1000 ha),30.69
2000,新华区,xinhuaqu,Wheat,Sown area (1000 ha),2.69
2000,卫东区,weidongqu,Wheat,Sown area (1000 ha),1.3
2000,石龙区,shilongqu,Wheat,Sown area (1000 ha),0.58
2000,湛河区,zhanhequ,Wheat,Sown area (1000 ha),3.13
2000,舞钢市,wugangshi,Wheat,Sown area (1000 ha),15.55
2000,汝州市,ruzhoushi,Wheat,Sown area (1000 ha),40.62
2000,宝丰县,baofengxian,Wheat,Sown area (1000 ha),24.08
2000,叶县,yexian,Wheat,Sown area (1000 ha),53.59
2000,鲁山县,lushanxian,Wheat,Sown area (1000 ha),26.08
2000,郏县,jiaxian,Wheat,Sown area (1000 ha),28.23
2000,铁西区,tiexiqu,Wheat,Sown area (1000 ha),0.07
2000,郊区,jiaoqu,Wheat,Sown area (1000 ha),5.3
2000,林州市,linzhoushi,Wheat,Sown area (1000 ha),35.1
2000,安阳县,anyangxian,Wheat,Sown area (1000 ha),55.62
2000,汤阴县,tangyinxian,Wheat,Sown area (1000 ha),28.13
2000,滑县,huaxian,Wheat,Sown area (1000 ha),102.5
2000,内黄县,neihuangxian,Wheat,Sown area (1000 ha),48.12
2000,郊区,jiaoqu,Wheat,Sown area (1000 ha),7.05
2000,浚县,junxian,Wheat,Sown area (1000 ha),54.27
2000,淇县,qixian,Wheat,Sown area (1000 ha),17.81
2000,北站区,beizhanqu,Wheat,Sown area (1000 ha),2.06
2000,郊区,jiaoqu,Wheat,Sown area (1000 ha),2.29
2000,卫辉市,weihuishi,Wheat,Sown area (1000 ha),29.25
2000,辉县市,huixianshi,Wheat,Sown area (1000 ha),43.89
2000,新乡县,xinxiangxian,Wheat,Sown area (1000 ha),22.97
2000,获嘉县,huojiaxian,Wheat,Sown area (1000 ha),18.67
2000,原阳县,yuanyangxian,Wheat,Sown area (1000 ha),40.87
2000,延津县,yanjinxian,Wheat,Sown area (1000 ha),34.48
2000,封丘县,fengqiuxian,Wheat,Sown area (1000 ha),47.39
2000,长垣县,changyuanxian,Wheat,Sown area (1000 ha),49.2
2000,解放区,jiefangqu,Wheat,Sown area (1000 ha),0.73
2000,中站区,zhongzhanqu,Wheat,Sown area (1000 ha),1.94
2000,马村区,macunqu,Wheat,Sown area (1000 ha),3.85
2000,山阳区,shanyangqu,Wheat,Sown area (1000 ha),2.75
2000,沁阳市,qinyangshi,Wheat,Sown area (1000 ha),21.89
2000,孟州市,mengzhoushi,Wheat,Sown area (1000 ha),16.18
2000,修武县,xiuwuxian,Wheat,Sown area (1000 ha),13.65
2000,博爱县,boaixian,Wheat,Sown area (1000 ha),13.89
2000,武陟县,wuzhixian,Wheat,Sown area (1000 ha),27.51
2000,温县,wenxian,Wheat,Sown area (1000 ha),16.27
2000,市区,shiqu,Wheat,Sown area (1000 ha),8.6
2000,清丰县,qingfengxian,Wheat,Sown area (1000 ha),44.1
2000,南乐县,nanlexian,Wheat,Sown area (1000 ha),29.67
